experiment_id,timestamp,scenario_name,output_dir,log_file,population,initial_infected,total_infections,peak_active_cases,attack_rate,case_fatality_rate,average_rt,secondary_infections,total_household_infections,total_community_infections,total_home_infections,total_school_infections,total_work_infections,total_other_infections,total_quarantined_agents,total_mask_protected_contacts,household_infection_share,community_infection_share,home_infection_share,school_infection_share,work_infection_share,other_infection_share,household_share_sum,location_share_sum,detection_rate,quarantine_rate,undetected_infections,undetected_rate,asymptomatic_rate_observed,child_vaccination_coverage,adult_vaccination_coverage,senior_vaccination_coverage,child_attack_rate,adult_attack_rate,senior_attack_rate,child_death_rate,adult_death_rate,senior_death_rate,total_vaccinations,vaccination_coverage,breakthrough_infection_rate,vaccinated_infection_rate,unvaccinated_infection_rate,observed_vaccine_effectiveness,lockdown_duration,school_closure_duration,mask_compliance_duration,testing_rate_duration,quarantine_compliance_duration,work_closure_duration,senior_mobility_reduction_duration,child_mobility_reduction_duration,vaccination_campaign_duration,batch_id,scenario_index,scenario_run,random_seed,scenario_description
21,2026-06-21_19-59-00,High mask compliance,outputs/experiment_021_2026-06-21_19-59-00,outputs/experiment_021_2026-06-21_19-59-00/logs/simulation.log,5000,18,921,113,0.1842,0.0054288816503800215,0.013473141195993603,903,66,837,275,614,14,0,1375,1030992,0.07308970099667775,0.9269102990033222,0.30454042081949056,0.6799557032115172,0.015503875968992248,0.0,1.0,1.0,0.10206297502714441,0.0738327904451683,827,0.8979370249728555,0.28447339847991315,0.19483101391650098,0.3554076539101497,0.34580384226491406,0.6461232604373758,0.05424292845257903,0.0910010111223458,0.0,0.0,0.005055611729019211,1858,0.3716,0.1356297093649085,0.1356297093649085,0.2129217059197963,0.36300665646555674,0,211,0,0,0,0,0,211,0,batch_2026-06-21_19-54-31,1,4,45,High mask compliance and stronger mask protection.
22,2026-06-21_20-02-14,High mask compliance,outputs/experiment_022_2026-06-21_20-02-14,outputs/experiment_022_2026-06-21_20-02-14/logs/simulation.log,5000,18,892,118,0.1784,0.004484304932735426,0.012345598800212137,874,73,801,274,572,28,0,1686,1067785,0.08352402745995423,0.9164759725400458,0.3135011441647597,0.6544622425629291,0.032036613272311214,0.0,1.0,1.0,0.09865470852017937,0.08071748878923767,804,0.9013452914798207,0.2679372197309417,0.21370967741935484,0.36167386250415146,0.3640922768304915,0.6209677419354839,0.05812022583859183,0.08324974924774323,0.0,0.0,0.004012036108324975,1905,0.381,0.12650918635170605,0.12650918635170605,0.21033925686591276,0.3985469558240703,0,205,0,0,0,0,0,205,0,batch_2026-06-21_19-54-31,1,5,46,High mask compliance and stronger mask protection.
23,2026-06-21_20-04-40,No vaccination,outputs/experiment_023_2026-06-21_20-04-40,outputs/experiment_023_2026-06-21_20-04-40/logs/simulation.log,5000,18,737,129,0.1474,0.0013568521031207597,0.014971223810424003,719,62,657,282,412,25,0,819,77303,0.08623087621696801,0.913769123783032,0.39221140472878996,0.5730180806675939,0.03477051460361613,0.0,1.0,1.0,0.09362279511533243,0.05834464043419267,668,0.9063772048846676,0.29172320217096337,0.0,0.0,0.0,0.47183098591549294,0.054479816212668196,0.08759124087591241,0.0,0.0,0.0010427528675703858,0,0.0,0,0,0.1474,1.0,0,235,0,0,0,0,0,235,0,batch_2026-06-21_19-54-31,2,1,47,Scenario without initial vaccination.
24,2026-06-21_20-06-46,No vaccination,outputs/experiment_024_2026-06-21_20-06-46,outputs/experiment_024_2026-06-21_20-06-46/logs/simulation.log,5000,18,601,126,0.1202,0.004991680532445923,0.0144101410933362,583,49,534,252,304,27,0,711,55301,0.08404802744425385,0.9159519725557461,0.4322469982847341,0.5214408233276158,0.04631217838765009,0.0,1.0,1.0,0.09151414309484193,0.056572379367720464,546,0.908485856905158,0.2928452579034942,0.0,0.0,0.0,0.35765673175745116,0.05365526492287056,0.07177033492822966,0.0,0.0,0.0028708133971291866,0,0.0,0,0,0.1202,1.0,0,322,0,0,0,0,0,322,0,batch_2026-06-21_19-54-31,2,2,48,Scenario without initial vaccination.
25,2026-06-21_20-08-40,No vaccination,outputs/experiment_025_2026-06-21_20-08-40,outputs/experiment_025_2026-06-21_20-08-40/logs/simulation.log,5000,18,1222,130,0.2444,0.0024549918166939444,0.01729001508000637,1204,95,1109,426,732,46,0,1879,132952,0.07890365448504984,0.9210963455149501,0.3538205980066445,0.6079734219269103,0.03820598006644518,0.0,1.0,1.0,0.09656301145662848,0.07283142389525368,1104,0.9034369885433715,0.30360065466448444,0.0,0.0,0.0,0.8008130081300813,0.09658344283837056,0.12551440329218108,0.0,0.0,0.0030864197530864196,0,0.0,0,0,0.2444,1.0,0,281,0,0,0,0,120,281,0,batch_2026-06-21_19-54-31,2,3,49,Scenario without initial vaccination.
26,2026-06-21_20-12-15,No vaccination,outputs/experiment_026_2026-06-21_20-12-15,outputs/experiment_026_2026-06-21_20-12-15/logs/simulation.log,5000,18,224,133,0.0448,0.008928571428571428,0.009345075089040098,206,18,188,89,111,6,0,322,18389,0.08737864077669903,0.912621359223301,0.4320388349514563,0.5388349514563107,0.02912621359223301,0.0,1.0,1.0,0.13839285714285715,0.08035714285714286,193,0.8616071428571429,0.2544642857142857,0.0,0.0,0.0,0.13312034078807242,0.018524536886577837,0.024390243902439025,0.0,0.0,0.0020325203252032522,0,0.0,0,0,0.0448,1.0,0,303,0,0,0,0,162,303,0,batch_2026-06-21_19-54-31,2,4,50,Scenario without initial vaccination.
27,2026-06-21_20-13-05,No vaccination,outputs/experiment_027_2026-06-21_20-13-05,outputs/experiment_027_2026-06-21_20-13-05/logs/simulation.log,5000,18,638,135,0.1276,0.0109717868338558,0.017579819682201455,620,52,568,254,338,28,0,766,61243,0.08387096774193549,0.9161290322580645,0.4096774193548387,0.5451612903225806,0.04516129032258064,0.0,1.0,1.0,0.09561128526645768,0.06269592476489028,577,0.9043887147335423,0.2836990595611285,0.0,0.0,0.0,0.3861997940267765,0.05223140495867769,0.08665338645418327,0.0,0.0,0.0069721115537848604,0,0.0,0,0,0.1276,1.0,0,265,0,0,0,0,176,265,0,batch_2026-06-21_19-54-31,2,5,51,Scenario without initial vaccination.
28,2026-06-21_20-17-18,High mask compliance,outputs/experiment_028_2026-06-21_20-17-18,outputs/experiment_028_2026-06-21_20-17-18/logs/simulation.log,5000,18,194,114,0.0388,0.015463917525773196,0.009675114914865456,176,14,162,66,104,6,0,268,175544,0.07954545454545454,0.9204545454545454,0.375,0.5909090909090909,0.03409090909090909,0.0,1.0,1.0,0.10824742268041238,0.07216494845360824,173,0.8917525773195877,0.23195876288659795,0.3619512195121951,0.37757133377571334,0.39438085327783556,0.11707317073170732,0.012939615129396152,0.01768990634755463,0.0,0.00033178500331785003,0.002081165452653486,1921,0.3842,0.01717855283706403,0.01717855283706403,0.05228970444949659,0.6714735143768935,0,281,0,0,0,0,0,281,0,batch_2026-06-21_20-17-18,1,1,42,High mask compliance and stronger mask protection.
29,2026-06-21_20-17-42,High mask compliance,outputs/experiment_029_2026-06-21_20-17-42,outputs/experiment_029_2026-06-21_20-17-42/logs/simulation.log,5000,18,196,111,0.0392,0.00510204081632653,0.008728879987115941,178,15,163,64,107,7,0,130,171038,0.08426966292134831,0.9157303370786517,0.3595505617977528,0.601123595505618,0.03932584269662921,0.0,1.0,1.0,0.0663265306122449,0.05102040816326531,183,0.9336734693877551,0.2602040816326531,0.3428011753183154,0.364604125083167,0.3545734840698869,0.11263467189030363,0.014970059880239521,0.018499486125385406,0.0,0.0,0.0010277492291880781,1831,0.3662,0.02184598580010923,0.02184598580010923,0.049226885452824234,0.5562184038426529,0,267,0,0,0,0,0,267,0,batch_2026-06-21_20-17-18,1,2,43,High mask compliance and stronger mask protection.
30,2026-06-21_20-18-29,High mask compliance,outputs/experiment_030_2026-06-21_20-18-29,outputs/experiment_030_2026-06-21_20-18-29/logs/simulation.log,5000,18,580,113,0.116,0.005172413793103448,0.012167841718881852,562,29,533,150,404,8,0,1133,828464,0.051601423487544484,0.9483985765124555,0.2669039145907473,0.7188612099644128,0.014234875444839857,0.0,1.0,1.0,0.10689655172413794,0.08448275862068966,518,0.8931034482758621,0.31896551724137934,0.2593340060544904,0.3587962962962963,0.38071065989847713,0.4339051463168517,0.031084656084656083,0.03857868020304569,0.0,0.0,0.003045685279187817,1869,0.3738,0.08132691278758694,0.08132691278758694,0.13669754072181411,0.4050594300515544,0,235,0,0,0,0,0,235,0,batch_2026-06-21_20-17-18,1,3,44,High mask compliance and stronger mask protection.
31,2026-06-21_20-21-56,High mask compliance,outputs/experiment_031_2026-06-21_20-21-56,outputs/experiment_031_2026-06-21_20-21-56/logs/simulation.log,5000,18,921,113,0.1842,0.0054288816503800215,0.013473141195993603,903,66,837,275,614,14,0,1375,1030992,0.07308970099667775,0.9269102990033222,0.30454042081949056,0.6799557032115172,0.015503875968992248,0.0,1.0,1.0,0.10206297502714441,0.0738327904451683,827,0.8979370249728555,0.28447339847991315,0.19483101391650098,0.3554076539101497,0.34580384226491406,0.6461232604373758,0.05424292845257903,0.0910010111223458,0.0,0.0,0.005055611729019211,1858,0.3716,0.1356297093649085,0.1356297093649085,0.2129217059197963,0.36300665646555674,0,211,0,0,0,0,0,211,0,batch_2026-06-21_20-17-18,1,4,45,High mask compliance and stronger mask protection.
32,2026-06-21_20-25-22,High mask compliance,outputs/experiment_032_2026-06-21_20-25-22,outputs/experiment_032_2026-06-21_20-25-22/logs/simulation.log,5000,18,892,118,0.1784,0.004484304932735426,0.012345598800212137,874,73,801,274,572,28,0,1686,1067785,0.08352402745995423,0.9164759725400458,0.3135011441647597,0.6544622425629291,0.032036613272311214,0.0,1.0,1.0,0.09865470852017937,0.08071748878923767,804,0.9013452914798207,0.2679372197309417,0.21370967741935484,0.36167386250415146,0.3640922768304915,0.6209677419354839,0.05812022583859183,0.08324974924774323,0.0,0.0,0.004012036108324975,1905,0.381,0.12650918635170605,0.12650918635170605,0.21033925686591276,0.3985469558240703,0,205,0,0,0,0,0,205,0,batch_2026-06-21_20-17-18,1,5,46,High mask compliance and stronger mask protection.
